turbineState,projectName,projectYear,projectTurbineNumber,projectCapacity,turbineManufacturer,turbineCapacity,long,lat
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360725,35.083778
CA,251 Wind,1987,194,18.43,Vestas,95,-118.361168,35.081512
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36042,35.084709
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364029,35.079418
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354286,35.085594
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351288,35.091396
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357643,35.087605
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351288,35.090096
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357582,35.084644
CA,251 Wind,1987,194,18.43,Vestas,95,-118.365929,35.077618
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357185,35.086594
CA,251 Wind,1987,194,18.43,Vestas,95,-118.369827,35.077618
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360802,35.081829
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351791,35.08654
CA,251 Wind,1987,194,18.43,Vestas,95,-118.365311,35.078629
CA,251 Wind,1987,194,18.43,Vestas,95,-118.350891,35.091194
CA,251 Wind,1987,194,18.43,Vestas,95,-118.366241,35.077324
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354362,35.085335
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368187,35.075794
CA,251 Wind,1987,194,18.43,Vestas,95,-118.362106,35.081112
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364639,35.079231
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35379,35.085693
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352676,35.087612
CA,251 Wind,1987,194,18.43,Vestas,95,-118.362762,35.086163
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352089,35.089195
CA,251 Wind,1987,194,18.43,Vestas,95,-118.353188,35.086094
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352531,35.087852
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368362,35.077629
CA,251 Wind,1987,194,18.43,Vestas,95,-118.365501,35.078255
CA,251 Wind,1987,194,18.43,Vestas,95,-118.359764,35.083427
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35199,35.089294
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352287,35.088253
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368187,35.077694
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351357,35.091145
CA,251 Wind,1987,194,18.43,Vestas,95,-118.359612,35.083561
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360405,35.084354
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360054,35.082962
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36869,35.075294
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351433,35.090916
CA,251 Wind,1987,194,18.43,Vestas,95,-118.350388,35.091595
CA,251 Wind,1987,194,18.43,Vestas,95,-118.362747,35.086567
CA,251 Wind,1987,194,18.43,Vestas,95,-118.367889,35.077805
CA,251 Wind,1987,194,18.43,Vestas,95,-118.355011,35.085064
CA,251 Wind,1987,194,18.43,Vestas,95,-118.355476,35.084766
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35421,35.083458
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351143,35.090519
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352325,35.088692
CA,251 Wind,1987,194,18.43,Vestas,95,-118.353386,35.086094
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35405,35.083565
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360519,35.084057
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368591,35.075394
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351387,35.086594
CA,251 Wind,1987,194,18.43,Vestas,95,-118.353485,35.085896
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351601,35.086636
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351089,35.090897
CA,251 Wind,1987,194,18.43,Vestas,95,-118.358734,35.084469
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368706,35.077137
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36869,35.075195
CA,251 Wind,1987,194,18.43,Vestas,95,-118.366447,35.077087
CA,251 Wind,1987,194,18.43,Vestas,95,-118.358871,35.084488
CA,251 Wind,1987,194,18.43,Vestas,95,-118.363319,35.078323
CA,251 Wind,1987,194,18.43,Vestas,95,-118.369659,35.077801
CA,251 Wind,1987,194,18.43,Vestas,95,-118.356689,35.086594
CA,251 Wind,1987,194,18.43,Vestas,95,-118.361305,35.081448
CA,251 Wind,1987,194,18.43,Vestas,95,-118.359383,35.084045
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351891,35.089794
CA,251 Wind,1987,194,18.43,Vestas,95,-118.361053,35.083561
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35936,35.08419
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352043,35.089645
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351891,35.089596
CA,251 Wind,1987,194,18.43,Vestas,95,-118.363892,35.079796
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352165,35.088856
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352837,35.086227
CA,251 Wind,1987,194,18.43,Vestas,95,-118.361534,35.081276
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360313,35.08252
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364456,35.079227
CA,251 Wind,1987,194,18.43,Vestas,95,-118.365089,35.078693
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35952,35.08382
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36116,35.081371
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354889,35.084995
CA,251 Wind,1987,194,18.43,Vestas,95,-118.353035,35.086193
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35321,35.086182
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364899,35.079063
CA,251 Wind,1987,194,18.43,Vestas,95,-118.365677,35.078026
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354889,35.085094
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357414,35.088646
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368355,35.077492
CA,251 Wind,1987,194,18.43,Vestas,95,-118.353737,35.084038
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357628,35.087986
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352341,35.088078
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360466,35.082298
CA,251 Wind,1987,194,18.43,Vestas,95,-118.362823,35.087074
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35424,35.08334
CA,251 Wind,1987,194,18.43,Vestas,95,-118.363762,35.077908
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354095,35.085648
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354301,35.085449
CA,251 Wind,1987,194,18.43,Vestas,95,-118.366287,35.077179
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357872,35.084499
CA,251 Wind,1987,194,18.43,Vestas,95,-118.356773,35.085026
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35247,35.088196
CA,251 Wind,1987,194,18.43,Vestas,95,-118.359756,35.083298
CA,251 Wind,1987,194,18.43,Vestas,95,-118.365288,35.078495
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368912,35.076954
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351616,35.090466
CA,251 Wind,1987,194,18.43,Vestas,95,-118.369507,35.077972
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352188,35.086494
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357391,35.086395
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357544,35.088322
CA,251 Wind,1987,194,18.43,Vestas,95,-118.350685,35.091396
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352486,35.087986
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368088,35.075893
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360649,35.082081
CA,251 Wind,1987,194,18.43,Vestas,95,-118.365746,35.077869
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351189,35.091694
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352203,35.088375
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35379,35.085896
CA,251 Wind,1987,194,18.43,Vestas,95,-118.362274,35.081036
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354057,35.083687
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351944,35.089455
CA,251 Wind,1987,194,18.43,Vestas,95,-118.358292,35.084595
CA,251 Wind,1987,194,18.43,Vestas,95,-118.353691,35.086094
CA,251 Wind,1987,194,18.43,Vestas,95,-118.353989,35.085896
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352119,35.089302
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364372,35.079376
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368408,35.075542
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354477,35.085407
CA,251 Wind,1987,194,18.43,Vestas,95,-118.369171,35.076706
CA,251 Wind,1987,194,18.43,Vestas,95,-118.369186,35.076546
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352219,35.088993
CA,251 Wind,1987,194,18.43,Vestas,95,-118.366692,35.076725
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354652,35.085163
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360931,35.081902
CA,251 Wind,1987,194,18.43,Vestas,95,-118.359909,35.083057
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35257,35.086475
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364891,35.078896
CA,251 Wind,1987,194,18.43,Vestas,95,-118.353569,35.08427
CA,251 Wind,1987,194,18.43,Vestas,95,-118.35479,35.085297
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36174,35.08102
CA,251 Wind,1987,194,18.43,Vestas,95,-118.359184,35.084251
CA,251 Wind,1987,194,18.43,Vestas,95,-118.359894,35.083191
CA,251 Wind,1987,194,18.43,Vestas,95,-118.365128,35.078876
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354187,35.085495
CA,251 Wind,1987,194,18.43,Vestas,95,-118.363014,35.081459
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360641,35.082203
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351524,35.090687
CA,251 Wind,1987,194,18.43,Vestas,95,-118.355255,35.084801
CA,251 Wind,1987,194,18.43,Vestas,95,-118.361389,35.081169
CA,251 Wind,1987,194,18.43,Vestas,95,-118.358612,35.084583
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368385,35.075634
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368538,35.075481
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364525,35.079117
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364281,35.079277
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352028,35.088959
CA,251 Wind,1987,194,18.43,Vestas,95,-118.355042,35.084923
CA,251 Wind,1987,194,18.43,Vestas,95,-118.361137,35.081669
CA,251 Wind,1987,194,18.43,Vestas,95,-118.366043,35.077568
CA,251 Wind,1987,194,18.43,Vestas,95,-118.354568,35.085278
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352791,35.086395
CA,251 Wind,1987,194,18.43,Vestas,95,-118.366676,35.076862
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360985,35.081749
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352203,35.08662
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352386,35.086491
CA,251 Wind,1987,194,18.43,Vestas,95,-118.366478,35.076935
CA,251 Wind,1987,194,18.43,Vestas,95,-118.360474,35.082432
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351089,35.091896
CA,251 Wind,1987,194,18.43,Vestas,95,-118.361588,35.081116
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357292,35.084728
CA,251 Wind,1987,194,18.43,Vestas,95,-118.361771,35.081154
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352242,35.088539
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36441,35.077435
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36586,35.077789
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36998,35.077446
CA,251 Wind,1987,194,18.43,Vestas,95,-118.357063,35.084881
CA,251 Wind,1987,194,18.43,Vestas,95,-118.359612,35.083683
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352005,35.086582
CA,251 Wind,1987,194,18.43,Vestas,95,-118.363144,35.081329
CA,251 Wind,1987,194,18.43,Vestas,95,-118.351952,35.089981
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368202,35.075695
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352402,35.088394
CA,251 Wind,1987,194,18.43,Vestas,95,-118.36097,35.0816
CA,251 Wind,1987,194,18.43,Vestas,95,-118.362045,35.080982
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352806,35.087677
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368996,35.076771
CA,251 Wind,1987,194,18.43,Vestas,95,-118.363838,35.079987
CA,251 Wind,1987,194,18.43,Vestas,95,-118.368546,35.07732
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352928,35.086338
CA,251 Wind,1987,194,18.43,Vestas,95,-118.352493,35.086372
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364143,35.079525
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364189,35.079369
CA,251 Wind,1987,194,18.43,Vestas,95,-118.364197,35.077644
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.632835,41.882477
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.623009,41.88147
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.51371,42.019119
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.430367,42.028233
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.518082,42.01363
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.700424,41.977608
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-92.672089,41.742046
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.515892,42.016373
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.523651,42.006813
IA,30 MW Iowa DG Portfolio,2017,10,30.0,Nordex,3000,-93.367798,42.49794
MA,6th Space Warning Squadron,2013,2,3.36,GE Wind,1680,-70.541801,41.752491
MA,6th Space Warning Squadron,2013,2,3.36,GE Wind,1680,-70.545303,41.754192
MA,AFCEE MMR Turbines,2011,2,3.0,GE Wind,1500,-70.547798,41.75959
MA,AFCEE MMR Turbines,2011,2,3.0,GE Wind,1500,-70.545303,41.757591
IA,AG Land 1,2012,1,1.6,GE Wind,1600,-93.325691,42.20639
IA,AG Land 2,2012,1,1.6,GE Wind,1600,-93.428093,42.146091
IA,AG Land 3,2012,1,1.6,GE Wind,1600,-93.431992,42.145592
IA,AG Land 4,2012,1,1.6,GE Wind,1600,-93.354897,41.904194
IA,AG Land 5,2012,1,1.6,GE Wind,1600,-93.632095,42.335491
IA,AG Land 6,2012,1,1.6,GE Wind,1600,-93.636795,42.335491
OH,AMP-Ohio/Green Mountain Energy Wind Farm,2004,2,3.6,Vestas,1800,-83.736298,41.382492
OH,AMP-Ohio/Green Mountain Energy Wind Farm,2004,2,3.6,Vestas,1800,-83.736298,41.384693
IA,Adair,2008,76,174.8,Siemens,2300,-94.68869,41.486591
IA,Adair,2008,76,174.8,Siemens,2300,-94.63839,41.439693
IA,Adair,2008,76,174.8,Siemens,2300,-94.69899,41.457794
IA,Adair,2008,76,174.8,Siemens,2300,-94.613396,41.467094
IA,Adair,2008,76,174.8,Siemens,2300,-94.65979,41.457493
IA,Adair,2008,76,174.8,Siemens,2300,-94.648689,41.455395
IA,Adair,2008,76,174.8,Siemens,2300,-94.677391,41.463093
IA,Adair,2008,76,174.8,Siemens,2300,-94.659096,41.466694
IA,Adair,2008,76,174.8,Siemens,2300,-94.67009,41.495193
IA,Adair,2008,76,174.8,Siemens,2300,-94.688995,41.435894
IA,Adair,2008,76,174.8,Siemens,2300,-94.614189,41.441395
IA,Adair,2008,76,174.8,Siemens,2300,-94.687691,41.445091
IA,Adair,2008,76,174.8,Siemens,2300,-94.676788,41.452393
